Lat	Long	Species	Year
59.02	-148.67	Arctic_Tern	1999
59.07	-148.72	Arctic_Tern	1999
59.76	-148.87	Arctic_Tern	1999
59.24	-148.88	Arctic_Tern	1999
59.32	-148.96	Arctic_Tern	1999
59.64	-149.29	Arctic_Tern	1999
59.4	-149.3	Arctic_Tern	1999
59.71	-149.36	Arctic_Tern	1999
59.73	-149.38	Arctic_Tern	1999
59.4	-149.79	Arctic_Tern	1999
59.68	-151.17	Arctic_Tern	1999
59.58	-151.72	Arctic_Tern	1999
59.58	-151.72	Arctic_Tern	1999
59.5	-151.82	Arctic_Tern	1999
59.69	-151.85	Arctic_Tern	1999
59.69	-151.85	Arctic_Tern	1999
59.0	-151.86	Arctic_Tern	1999
59.08	-151.86	Arctic_Tern	1999
59.41	-152.07	Arctic_Tern	1999
60.16	-152.12	Arctic_Tern	1999
59.66	-152.15	Arctic_Tern	1999
59.66	-152.15	Arctic_Tern	1999
59.91	-152.22	Arctic_Tern	1999
60.07	-152.24	Arctic_Tern	1999
59.99	-152.25	Arctic_Tern	1999
